Symbol,IssuerName,Sector,Industry,IPO
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,2007
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,n/a
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,n/a
GNMX,"Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,2014
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2000
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014
AGYS,"Agilysys, Inc.",Technology,EDP Services,n/a
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2013
AGNC,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,2008
AGNCB,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,n/a
AGNCN,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,n/a
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,2014
AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services,2014
ALRN,"Aileron Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services,n/a
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,n/a
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,2016
AMCN,AirMedia Group Inc,Technology,Advertising,2007
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,1999
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals,n/a
AKCA,"Akcea Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,2014
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals,n/a
AKTS,"Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment,n/a
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software,2015
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,1999
ALBO,"Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals,n/a
ABDC,Alcentra Capital Corp.,n/a,n/a,n/a
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals,2013
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,1996
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,n/a
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties,2001
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,2010
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services,n/a
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals,1991
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks,2015
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,2006
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining,2006
AMMA,"Alliance MMA, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,2016
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining,1999
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,1992
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,n/a
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments,n/a
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment,2006
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services,n/a
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services,n/a
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2004
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,2010
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing",2004
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing",n/a
SMCP,AlphaMark Actively Managed Small Cap ETF,n/a,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,2006
ALPN,"Alpine Immune Sciences, Inc.",Health Care,Major Pharmaceuticals,2015
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,n/a,n/a,n/a
AABA,Altaba Inc.,Technology,EDP Services,n/a
ALT,"Altimmune, Inc.",Health Care,Major Pharmaceuticals,n/a
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,n/a
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,2006
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a
AMRN,Amarin Corporation plc,Health Care,Major Pharmaceuticals,n/a
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,n/a
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,1997
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,n/a
AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,n/a
AMBA,"Ambarella, Inc.",Technology,Semiconductors,2012
AMCX,AMC Networks Inc.,Consumer Services,Television Services,n/a
DOX,Amdocs Limited,Technology,EDP Services,n/a
AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments,2014
AMED,Amedisys Inc,Health Care,Medical/Nursing Services,n/a
UHAL,Amerco,Consumer Services,Rental/Leasing Companies,n/a
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services,n/a
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,n/a
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,n/a
ACSF,"American Capital Senior Floating, Ltd.",n/a,n/a,2014
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,n/a
AMNB,"American National Bankshares, Inc.",Finance,Major Banks,n/a
ANAT,American National Insurance Company,Finance,Life Insurance,n/a
AOBC,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories,n/a
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services,2007
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads,2006
AMRB,American River Bankshares,Finance,Major Banks,n/a
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software,n/a
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications,1991
AMWD,American Woodmark Corporation,Basic Industries,Forest Products,1986
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket,n/a
ABCB,Ameris Bancorp,Finance,Major Banks,1994
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers,2005
ASRV,AmeriServ Financial Inc.,Finance,Major Banks,n/a
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks,n/a
ATLO,Ames National Corporation,Finance,Major Banks,n/a
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),1983
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2007
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,1998
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014
IBUY,Amplify Online Retail ETF,n/a,n/a,n/a
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components,n/a
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,n/a
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals,2010
ADI,"Analog Devices, Inc.",Technology,Semiconductors,n/a
ALOG,Analogic Corporation,Capital Goods,Electrical Products,1972
ANAB,"AnaptysBio, Inc.",Health Care,Major Pharmaceuticals,2017
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,n/a
ANCB,Anchor Bancorp,Finance,Banks,2011
ANDA,Andina Acquisition Corp. II,Finance,Business Services,2015
ANDAR,Andina Acquisition Corp. II,Finance,Business Services,2015
ANDAU,Andina Acquisition Corp. II,Finance,Business Services,2015
ANDAW,Andina Acquisition Corp. II,Finance,Business Services,2015
ANGI,"Angie&#39;s List, Inc.",Consumer Services,Advertising,2011
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments,2004
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments,n/a
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software,1996
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments,n/a
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2010
ABAC,"Aoxin Tianli Group, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,n/a
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.,n/a
APEN,"Apollo Endosurgery, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a
AINV,Apollo Investment Corporation,n/a,n/a,2004
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software,2015
APPN,Appian Corporation,Technology,Computer Software: Prepackaged Software,2017
AAPL,Apple Inc.,Technology,Computer Manufacturing,1980
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings,n/a
APDN,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services,n/a
APDNW,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services,n/a
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,1972
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,2013
AREX,Approach Resources Inc.,Energy,Oil & Gas Production,2007
APTI,"Apptio, Inc.",Technology,Computer Software: Prepackaged Software,2016
APRI,"Apricus Biosciences, Inc.",Health Care,Major Pharmaceuticals,n/a
APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals,n/a
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications,2015
AQB,"AquaBounty Technologies, Inc.",n/a,n/a,n/a
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014
ARDM,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,1996
ARLZ,Aralez Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,n/a
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2013
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,n/a
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications,n/a
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,n/a
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals,2015
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services,n/a
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,n/a
ACGLO,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,n/a
ACGLP,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,n/a
APLP,"Archrock Partners, L.P.",Public Utilities,Natural Gas Distribution,n/a
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals,2014
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2000
ARCC,Ares Capital Corporation,n/a,n/a,2004
ARGX,argenx SE,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2017
AGII,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,n/a
AGIIL,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,n/a
ARGS,"Argos Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2014
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants,n/a
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,1994
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals,1996
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals,2000
ARRS,ARRIS International plc,Technology,Radio And Television Broadcasting And Communications Equipment,n/a
DWAT,Arrow DWA Tactical ETF,n/a,n/a,n/a
AROW,Arrow Financial Corporation,Finance,Major Banks,n/a
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,n/a
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply,n/a
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components,n/a
ASBB,"ASB Bancorp, Inc.",Finance,Savings Institutions,2011
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,n/a
ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals,2015
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services,n/a
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment,n/a
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components,1995
ASPU,Aspen Group Inc.,Consumer Services,Other Consumer Services,n/a
AZPN,"Aspen Technology, Inc.",Technology,EDP Services,1994
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals,n/a
ASFI,"Asta Funding, Inc.",Finance,Finance Companies,1995
ASTE,"Astec Industries, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,1986
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical,n/a
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment,1983
ASTC,Astrotech Corporation,Capital Goods,Military/Government/Technical,n/a
ASUR,Asure Software Inc,Technology,EDP Services,n/a
ASV,"ASV Holdings, Inc.",Capital Goods,Construction/Ag Equipment/Trucks,2017
ATAI,ATA Inc.,Consumer Services,Other Consumer Services,2008
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2014
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services,2007
ATNX,"Athenex, Inc.",Health Care,Major Pharmaceuticals,2017
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals,n/a
ATAC,Atlantic Acquisition Corp.,Finance,Business Services,2017
ATACR,Atlantic Acquisition Corp.,Finance,Business Services,2017
ATACU,Atlantic Acquisition Corp.,Finance,Business Services,2017
AAPC,Atlantic Alliance Partnership Corp.,Consumer Services,Real Estate Investment Trusts,2015
AAME,Atlantic American Corporation,Finance,Life Insurance,n/a
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks,n/a
ACFC,Atlantic Coast Financial Corporation,Finance,Savings Institutions,n/a
ABY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central,2014
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services,1995
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services,n/a
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,2013
AFHBL,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,n/a
TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software,2015
ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment,n/a
ATOM,Atomera Incorporated,Technology,Semiconductors,2016
ATOS,Atossa Genetics Inc.,Health Care,Medical/Dental Instruments,2012
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments,2005
ATRI,Atrion Corporation,Health Care,Medical/Dental Instruments,n/a
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software,n/a
LIFE,"aTyr Pharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2015
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks,n/a
BOLD,"Audentes Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2016
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment,1999
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals,n/a
EARS,Auris Medical Holding AG,Health Care,Major Pharmaceuticals,2014
ABTL,Autobytel Inc.,Technology,"Computer Software: Programming, Data Processing",1999
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,n/a
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,n/a
AVDL,Avadel Pharmaceuticals plc,Health Care,Major Pharmaceuticals,n/a
ATXI,"Avenue Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2017
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2010
AVXS,"AveXis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2016
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,n/a
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software,1993
AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments,2015
AVIR,"Aviragen Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),n/a
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies,n/a
AHPA,Avista Healthcare Public Acquisition Corp.,Finance,Business Services,2016
AHPAU,Avista Healthcare Public Acquisition Corp.,Finance,Business Services,2016
AHPAW,Avista Healthcare Public Acquisition Corp.,Finance,Business Services,2016
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software,1996
AXAR,Axar Acquisition Corp.,Finance,Business Services,2014
AXARU,Axar Acquisition Corp.,Finance,Business Services,2014
AXARW,Axar Acquisition Corp.,Finance,Business Services,2014
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components,2000
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,n/a
AAXN,"Axon Enterprise, Inc.",Capital Goods,Ordnance And Accessories,n/a
AXON          ,Axovant Sciences Ltd.,Health Care,Major Pharmaceuticals,n/a
AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015
AXTI,AXT Inc,Technology,Semiconductors,1998
AZRX,"AzurRx BioPharma, Inc.",Health Care,Major Pharmaceuticals,2016
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment,n/a
RILY,"B. Riley Financial, Inc.",Miscellaneous,Business Services,n/a
RILYL,"B. Riley Financial, Inc.",Miscellaneous,Business Services,n/a
RILYZ,"B. Riley Financial, Inc.",Miscellaneous,Business Services,n/a
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment,n/a
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing",2005
BCPC,Balchem Corporation,Basic Industries,Major Chemicals,n/a
BWINA,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers,n/a
BWINB,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers,n/a
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components,n/a
BANF,BancFirst Corporation,Finance,Major Banks,1993
BANFP,BancFirst Corporation,Finance,Major Banks,n/a
BCTF,"Bancorp 34, Inc.",Finance,Savings Institutions,n/a
BKMU,Bank Mutual Corporation,Finance,Savings Institutions,n/a
BOCH,Bank of Commerce Holdings (CA),Finance,Major Banks,n/a
BMRC,Bank of Marin Bancorp,Finance,Major Banks,n/a
BMLP,Bank Of Montreal,Finance,Commercial Banks,n/a
BKSC,Bank of South Carolina Corp.,Finance,Major Banks,n/a
BOTJ,"Bank of the James Financial Group, Inc.",Finance,Major Banks,n/a
OZRK,Bank of the Ozarks,Finance,Major Banks,1997
BFIN,BankFinancial Corporation,Finance,Savings Institutions,n/a
BWFG,"Bankwell Financial Group, Inc.",Finance,Major Banks,2014
BANR,Banner Corporation,Finance,Major Banks,n/a
BZUN,Baozun Inc.,Consumer Services,Catalog/Specialty Distribution,2015
TAPR,Barclays Inverse US Treasury Composite ETN,Finance,Commercial Banks,n/a
BHAC,Barington/Hilco Acquisition Corp.,Finance,Business Services,2015
BHACR,Barington/Hilco Acquisition Corp.,Finance,Business Services,2015
BHACU,Barington/Hilco Acquisition Corp.,Finance,Business Services,2015
BHACW,Barington/Hilco Acquisition Corp.,Finance,Business Services,2015
BBSI,"Barrett Business Services, Inc.",Technology,Professional Services,1993
BSET,"Bassett Furniture Industries, Incorporated",Consumer Durables,Home Furnishings,n/a
BYBK,"Bay Bancorp, Inc.",Finance,Major Banks,n/a
BV,"Bazaarvoice, Inc.",Technology,Computer Software: Prepackaged Software,2012
BCBP,"BCB Bancorp, Inc. (NJ)",Finance,Savings Institutions,2005
BECN,"Beacon Roofing Supply, Inc.",Consumer Services,RETAIL: Building Materials,2004
BSF,"Bear State Financial, Inc.",Finance,Major Banks,n/a
BBGI,"Beasley Broadcast Group, Inc.",Consumer Services,Broadcasting,2000
BEBE,"bebe stores, inc.",Consumer Non-Durables,Apparel,1998
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings,1992
BGNE,"BeiGene, Ltd.",Health Care,Major Pharmaceuticals,2016
BELFA,Bel Fuse Inc.,Capital Goods,Electrical Products,n/a
BELFB,Bel Fuse Inc.,Capital Goods,Electrical Products,n/a
BLPH,"Bellerophon Therapeutics, Inc.",Health Care,Major Pharmaceuticals,2015
BLCM,"Bellicum Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,2014
BNCL,"Beneficial Bancorp, Inc.",Finance,Savings Institutions,n/a
BNFT,"Benefitfocus, Inc.",Technology,Computer Software: Prepackaged Software,2013
BNTC,Benitec Biopharma Limited,Health Care,Major Pharmaceuticals,2015
BNTCW,Benitec Biopharma Limited,Health Care,Major Pharmaceuticals,2015
BYSI,"BeyondSpring, Inc.",Health Care,Major Pharmaceuticals,2017
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service,n/a
BGFV,Big 5 Sporting Goods Corporation,Consumer Services,Other Specialty Stores,2002
BASI,"Bioanalytical Systems, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,1997
